name,email,district,county,longitude,latitude,location,address,wasteType,facilityType
HAVILLAH SMART ENVIROS,shanificonsys@gmail.com,NGONG TOWN,Kajiado,36.6566,-1.3618,PLOT LR NO 2/79 NGONG TOWN KAJIADO COUNTY,"P.O BOX 65102-00618
NAIROBI",Scrap Metal/Plastic Waste,Transfer Station/Storage Yard
TANGA INVESTMENTS (K) LTD,eterch07@gmail.com,MIRITINI,Mombasa,39.6001° E,0727841483,259/II/MN,P.O.BOX 99005-80107 MOMBASA,Scrap Metal,Transfer Station/Storage Yard
PACIFIC PLASTIC RECYCYING,shanificonys@gmail.com,MIRITI MOMBASA,Mombasa,-,-,"MIRITINI,VIKOBANI BEHIND KTA GODOWN MOMBASA COUNTY","P.O 91-00500
NAIROBI",Plastic Waste,Recycling
WORLD PLASTICS COMPANY LIMITED,info@decl.co.ke,LIMURU,Kiambu,36.639625,-1.130990,"PLOT LR. NO LIMURU/KAMIRITHU/2910 OFF LIMURU- RWAKA ROAD AT KAMADURA AREA ,LIMURU SUB-COUNTY.",P.O.BOX 670-00200 NAIROBI,Polythene,Recycling
GREENCITY INCINERATORS,ediemurithi@gmail.com,NAIROBI,Nairobi,E036.90348,S01.31844,"LR.NO 9042/689,NORTH AIRPORT RD,EMBAKASI,INDUSTRIAL AREA","GREENCITY INCINERATORS
P.O BOX 57996-0200
NAIROBI",Biomedical/Industrial Waste,Incinerator
HOPE PLASTICS LIMITED,danamollo@gmail.com,Thika,Kiambu,37.0834° E,"1.0388° S,","L.R.No 13/520 THIKA,KIAMBU COUNTY",P.O. Box 38334-00623 NAIROBI,Plastic Waste,Recycling
Choka Supplies Ltd,chokasupplies@gmail.com,Viwandani,Nairobi,-1.311724050S,36.8629289E,"Plot 209/9338/9,10 Gakoe Rd, off Lunga Lunga Rd, Nairobi","P O Box 38711-00600
Nairobi",Calcium Carbide,Recycling
MUM SCRAP METAL,shanificonsys@gmail.com,Mombasa road,Nairobi,-,-,ALONG MOMBASA ROAD,"P.O BOX 356-00507
NAIROBI",Scrap Metal/Plastic Waste,Transfer Station/Storage Yard
FRANCIS MALOMBE SCRAP METAL,shanificonsys@gmail.com,KARIOBANGI LIGHT INDUSTRY,Nairobi,36.8716852,-1.2405695,Along cardinal otunga road off outering Road Nairobi County,"P.O. BOX 72065-00200
Nairobi",Scrap Metal/Plastic Waste,Transfer Station/Storage Yard
DANCATH INVESTMENT LIMITED,olukohe2000@yahoo.com,VOI SUB-COUNTY,Taita Taveta,38.757000,-3.564288,"LR NO.12262, TAITA VILLAGE, WANALA, MAUNGU, VOI TAITA TAVETA COUNTY",P.O BOX 47362 - 00100 NAIROBI,Used Cooking Oil,Transfer Station/Storage Yard
PREMIER INDUSTRIES LIMITED,info@premierindltd.com,KASARANI,Nairobi,36.8764,-1.2434,"BABA DOGO ROAD, RUARAKA.","P. O. BOX 22460 - 00400, NAIROBI.
BABA DOGO ROAD, RUARAKA.",Plastic Waste,Recycling
HIGHWAY SCRAP METAL DEALERS,johnmanyange981@gmail.com,LANGATA NAIROBI,Nairobi,-,-,LR 16020 ALONG KIGANJOROAD SOUTH C,"P.O BOX 77440
NAIROBI",Scrap Metal,Transfer Station/Storage Yard
IMARA STEEL MILLS LIMITED,cathyndungu31@gmail.com,KAJIADO,Kajiado,"36 DEGREES 52' 1"" E","1 DEGREES 39' 49"" S",LR.NO.30162 KAJIADO KAPUTEI NORTH ISINYA AREA,P.O BOX 73097 00200 NAIROBI,Scrap Metal,Recycling
IMARA STEEL MILLS LIMITED,cathyndungu31@gmail.co,KAJIADO,Kajiado,"36 DEGREES 52' 1"" E","1 DEGREES 39' 49"" S",LR.NO.30162 KAJIADO KAPUTEI NORTH ISINYA AREA,P.O BOX 73097 00200 NAIROBI,Scrap Metal,Recycling
IMARA STEEL MILLS LIMITED,cathyndungu31@gmail.co,KAJIADO,Kajiado,"36 DEGREES 52' 1"" E","1 DEGREES 39' 49"" S",LR.NO.30162 KAJIADO KAPUTEI NORTH ISINYA AREA,P.O BOX 73097-00200 NAIROBI,Scrap Metal,Recycling
MOMBASA PACKAGING SOLUTIONS LIMITED,AKHMARKAMAL96@GMAIL.COM,CHANGAMWE,Mombasa,39.623717,-4.015360,"PLOT No. 9695/33 ALONG PAMBA ROAD, CHANGAMWE",P.O. BOX 99755-80100 MOMBASA,Polythene,Recycling
SINOMET KENYA LIMITED,sanaet1@gmail.com,NAIROBI EAST,Nairobi,37.813080,1.308793,LR. NO. 209/3530/12 ESARI HOUSE PARK ROAD - NAIROB,P O BOX 31652-00600 NAIROBI,E-Waste/Exhaust Catalytic Converter,Transfer Station/Storage Yard
PK PARTEL METALS LIMITED,info.patelmetalsinvestment@gmail.com,INDUSTRIAL AREA,Nairobi,37.9062° E,0.0236° S,Industrial Area,P.O BOX 78832-00200 Nairobi,Scrap Metal,Incinerator and Waste Transfer Station
BLUE NILE ROLLING MILLS LTD,info@bluenile-group.com,THIKA SUB-COUNTY,Kiambu,"37O 09' ""11.95"" E","1O 05' ""90.77"" S",LR NO 4953/2167,"P.O BOX 1667-01000
THIKA",Scrap Metal,Recycling
SAAFIGO CLAYS LTD,johnkupss@gmail.com,CHANGAMWE,Mombasa,"39°36'55""E","-4°-2'-27""S","PLOT NO. 500/IV/MN PORT-REITZ AREA, MOMBASA COUNTY",P.O. BOX80559-80100 MOMBASA,Non Hazardous/Non Industrial/Non Toxic & Non Medical Waste,Incinerator
FRIENDLY POLYMARS LIMITED,pgithinji1962@gmail.com,NAIROBI,Nairobi,9855691.336,263639.997,LR209/8850 LUGALUNGA ROAD NAIROBI,"P.O BOX 66594- 00800
NAIROBI",Plastic Waste,Recycling
ZIPOMMY SCRAP METAL DEALERS,berlconsult2013@gmail.com,NAIROBI,Nairobi,E 36°51’32.778”,S 1°19’0.192”,"Plot L.R.No.12596/30, ROAD A, INDUSTRIAL AREA.","P.O. BOX 18131-00500
NAIROBI",Scrap Metal,Transfer Station/Storage Yard
OSERIAN DEVELOPMENT COMPANY LIMITED,info@oserian.com,NAIVASHA,Nakuru,196530E,99055900N,NAIVASHA,P.O BOX 2010-20117,Plastic Waste,Recycling
OSERISN DEVELOPMENT COMPSNY LIMITED,info@oserian.com,NAIVASHA,Nakuru,198945E,9908881N,NAIVASHA,P.O BOX 2010-20117 NAIVASHA,Organic Waste,Compost
KENYA RAILWAYS CORPORATION,ckioko90@gmail.com,Nairobi,Nairobi,36.827892,-1.292031,Nairobi Central Workshop,P.O.BOX 30121-00100 NAIROBI,Industrial Waste,Incinerator
KENYA RAILWAYS CORPORATION,ckioko90@gmail.com,Nairobi,Nairobi,36.827892,-1.292031,Nairobi Yard-Railway Station,P.O.BOX 30121-0100 NAIROBI,Non Hazardous Paper Waste,Incinerator
DEVKI STEEL MILLS LITED ATHI RIVER,sillahaggy@gmail.com,athi river,Machakos,36.9896E,1.4435S,ATHI RIVER,33319-00600 NAIROBI,Scrap Metal,Recycling
PHILIP KIPKOECH LETING,phyloleting@yahoo.com,KAKAMEGA NORTH,Trans Nzoia,1800,1400,KAKAMEGA,P.O 234 LODWAR,Industrial Waste,Recycling
PHILIP KIPKOECH LETING,phyloleting@yahoo.com,KAKAMEG NORTH,Trans Nzoia,1800,1400,KAKAMEGA,P.O 234 LODWAR,Industrial Waste,Recycling
BAMBURI CEMENT LIMITED,ernest.namayi@lafargeholcim.com,MAVOKO,Machakos,36.95914,-1.43349,"L.R NO. 18696/56, ATHI RIVER, MACHAKOS COUNTY","P.O BOX 524 - 00204
ATHI RIVER",Agricultural Waste/Industrial Waste/Used Oil/Scrap Tyres/Condemned Goods,Incinerator
DAVE TRADE INNOVATORS,DSES2011@GMAIL.COM,CITY COUNTY OF NAIROBI,Nairobi,"36°42'44.39""E","1°24'18.40""S, 36°42'44.39""E","ON PLOT L.R NO. 36/I/960, EASTLEIGH SECTION I, NAIROBI CITY COUNTY","P.O BOX 68464, 00610 NAIROBI",Scrap Metal/Plastic Waste,Transfer Station/Storage Yard
SAMKI AFRICA INVESTMENTS COMPANY LTD,johnmanyange981@gmail.com,NAIROBI,Nairobi,-,-,FACTORY STREET NAIROBI,"P.O BOX 50498-00200
NAIROBI",Used Oil/Sludge,Transfer Station/Storage Yard
WARMTECH AFRICA LTD,kevin@warmtech.asia,ATHI RIVER,Machakos,37 0 15,1 26 53,ATHI RIVER,"P O BOX 234-00200
ATHI RIVER",Used Lead Batteries,Transfer Station/Storage Yard
SANERGY LIMITED K1,amos.wanyonyi@saner.gy,ATHI RIVER,Nairobi,N/A,N/A,"LR NO 23961/KINANIE MAVOKO,MACHAKOS","P.O BOX 245223,
NAIROBI.",Organic Waste,Compost
SANERGY LIMITED K2,amos.wanyonyi@saner.gy,ATHI RIVER/KINANIE,Machakos,N/A,N/A,"LR NO 23961/KINANIE MAVOKO,MACHAKOS","P.O BOX 24523-00100
P.O BOX 23523-00100
NAIROBI.",Organic Waste,Compost
SANERGY LIMITED K1,INFO@SANER.GY,ATHI RIVER/KINANIE,Nairobi,N/A,N/A,"LR NO 23961/KINANIE MAVOKO,MACHAKOS","P.O BOX 24523-00100
NAIROBI",Human Organic Waste,Compost
KITENGELA MEDICAL SERVICES,malweyi@yahoo.com,KAJIADO EAST,Kajiado,360 57’ 48.432”E,10 28’ 16.253”S,KITENGELA,BOX 352-00204 ATHIRIVER,Biomedical Waste,Incinerator
Safety Health and Environment Consultants,huhachege@gmail.com,Naivasha,Nakuru,36.484214.,-0870878,Nairobi,"P.O. Box 73670-00200, Nairobi",Biomedical/Industrial Waste,Incinerator
TORONTO MERCHANTS LTD,shanificonys@gmail.com,Embakasi East,Nairobi,36.81667,-1.273818,NJIRU ON PLOT NO 10389/7,"P.O. BOX P.O. BOX 8732-00300
Nairobi",E-Waste/Exhaust Catalytic Converter,Transfer Station/Storage Yard
AGA KHAN UNIVERSITY HOSPITAL,engineering.helpdesk@aku.edu,L.R.NO209/5804 3RD PARKLANDS AVENUE NAIROBI,Nairobi,36.824787900000050000,-1.262392200000000000,L.R.NO209/5804 3RD PARKLANDS AVENUE NAIROBI,P.O.BOX 30270-00100,Biomedical Waste,Incinerator
WILDFIRE LIMITED,office@wildfire-flowers.com,NAIVASHA,Nakuru,36°26'13.72E,0°46' 24.84'S,Moi South Lake Road,"P.O.BOX 379- 20117 NAIVASHA, KENYA",Organic Waste,Compost
STYROPLAST LTD,accounts@styroplast.group,NAIROBI,Nairobi,36.8587331,-1.3181069,LR NO.209/12596/29 ROAD A OFF ENTERPRISE ROAD INDUSTRIAL,P.O BOX 32654 - 00600 NAIROBI KENYA,Plastic Waste,Recycling
STANDARD ROLLING MILLS LTD,csl@nyumba.com,KILIFI,Kilifi,39.530718,-3.925507,"RABAI LOCATION, KILIFI COUNTY","P.O. BOX 83594-80100, MOMBASA",Used Oil/Sludge,Incinerator
AFRIKEN INTERNATIONAL LTD,vishal@tank-group.com,NAIROBI,Nairobi,36 DEGREE 46E,1 DEGREE 16 SOUTH,"L.R. NO 2209/20295, ROAB B, OFF ENTERPRISE ROAD, INDUSTRIAL AREA","P.O.BOX 11214 00400
NAIROBI, KENYA",Zinc Ash / Dross,Recycling
IFIX (K) LIMITED,willcyge@gmail.com,"Kiambu, Ruiru area at Kamakis along Eastern bypass Road",Kiambu,-,-,"Plot LR NO.Ruiru/Kiu Block 2(Guthunguri)3969, Ruiru Kiambu along Esatern bypass","P.O. BOX 648-00516, Nairobi",E-Waste/Exhaust Catalytic Converter,Transfer Station/Storage Yard
IFIX (K) LIMITED,willcyge@gmail.com,Kiambu Kamakis area along Eastern bypass,Kiambu,-,-,"Plot LR NO.Ruiru/Kiu Block 2(Guthunguri)3969, Ruiru Kiambu along Esatern bypass",P.O BOX 648-00516 NAIROBI,Electrical / Electronic Equipment,Transfer Station/Storage Yard
SAINATH TRADING LIMITED,griffinsnyabuto40@gmail.com,KITENGELA,Kajiado,E0360 56’ 43.0,S010 27’ 35.3,KITENGELA,"P.O BOX 766- 00242
KAJIADO",Scrap Metal,Transfer station
MALTIPLAST ENTERPRISES,shanificonsys@gmail.com,NAIROBI,Nairobi,36.8778971,-1.2590554,LR NO. 135/25 Kariobangi Light Industry off Komarock Road,"P.O BOX 814-00100
NAIROBI",Plastic Waste,Recycling
MODERN SOAP FACTORY LIMITED,modernsoapfactoryltd@gmail.com,CHANGAMWE,Mombasa,"39.36'43""E","4.0'36""S",MIKINDANI,P.O BOX 81785-80100 MOMBASA,Plastic Waste,Recycling
Meru Level 5 Hospital,nyingimeshack@gmail.com,Imenti North,Meru,37.6558169,0.0514631,Ntima,Box 8,Biomedical Waste,Incinerator
PARAS INDUSTRIES LIMITED,leynishaservices@gmail.com,STAREHE SUB-COUNTY,Nairobi,"E0360 54' 26.2""","S010 18' 59.2""","INDUSTRIAL AREA, MOGADISHU ROAD OFF LUNGA LUNGA ROAD",P.O BOX 45-00606-NAIROBI,Plastic Waste,Recycling
VINTZ PLASTICS LIMITED,leynishaservices@gmail.com,EMBAKASSI SUB-COUNTY,Nairobi,"E0360 54' 26.2""","S010 18' 59.2""",EMBAKASSI AREA,P.O BOX79329-00400-NAIROBI,Plastic Waste,Recycling
KIP PLAST LIMITED,leynishaservices@gmail.com,EMBAKASSI SUB-COUNTY,Nairobi,"E0360 54' 26.2""","S010 18' 59.8""",EMBAKASSI AREA,P.O BOX 38597-00100-NAIROBI,Plastic Waste,Recycling
KIEULI TRADING LIMITED,leynishaservices@gmail.com,EMBAKASSI SUB-COUNTY,Nairobi,"E0360 54' 26.4""","S010 18' 59.2""",EMBAKASSI AREA,P.O BOX 74622-00200-NAIROBI,Scrap metal/Paper/Polythene,Transfer station
DULAX ENTERPRISES LIMITED,eterch07@gmail.com,Kiambu,Kiambu,36.793065,1.2086433,"ON LR. NO 209/22 OFF NORTHEN BYPASS, RUAKA KIAMBU COUNTY","P. O. BOX 55032-00100
NAIROBI",Plastic Waste,Recycling
THE MOMBASA HOSPITAL ASSOCIATION,INFO@MOMBASAHOSPITAL.COM,MOMBASA,Mombasa,39.6804° E,4.0648° S,OFF MAMA NGINA DRIVE,P.O.BOX 90294-80100 MOMBASA,Biomedical Waste,Incinerator
MAITRI POLYTECH LIMITED,nsngugi@gmail.com,NAIROBI,Nairobi,36O56’25.8”N,1o14’49.0”S,"L. No. 10390/5 NJIRU, NAIROBI COUNTY","P.O. BOX 6308-00300
NAIROBI",Polythene,Recycling
Pinkej Co. (K) Limited,pinkej2550@gmail.com,"Athi River, Machakos County",Machakos,"36°58'10.2""","1°25'36.5""S",Trailink Business Park Unit No. BI and BII,"P.O. Box 2650-00200,
Nairobi",Plastic Waste,Recycling
GREEN WORLD PLASTICS RENEWAL COMPANY LIMITED,fremosa2007@gmail.com,THIKA WEST DISTRICT,Kiambu,37.0833,-1.0500,ON PLOT LR NO THIKA MUNICIPALITY BLOCK 14/1180 THIKA'S INDUSTRIAL AREA,15924-00100 NAIROBI,Plastic Waste,Recycling
JA Recycling,sunilgada777@gmail.com,THIKA,Kiambu,37.1,-1.072918,PLOT LR. NO. THIKA MUNICIPALITY BLOCK 29/653 NEAR KANGÓNDU,"P.O. Box 11324 -00400,Nairobi",Waste Tyres,Recycling
C&P SHOE INDUSTRIES LIMITED,info@cpshoes.com,NAIROBI,Nairobi,36.873570,-1.329730,LR NO.209/9720 NAIROBI INDUSTRIAL AREA ALONG MOMBASA RD NEXT TO PANARI HOTEL,P.O. BOX 46979-00100 NAIROBI,,Recycling
EKOTECH LIMITED,ekotechkenya@gmail.com,NAIROBI,Nairobi,"E 036 deg 52'02.260""","S 01 deg 19'28.779""",ROAD C off ENTERPRISE ROAD,"PO BOX 41142-00100
NAIROBI",,Recycling
HARVEST LIMITED (TOP HARVEST FARM),admin@harvestflowers.com,NYANDARUA,Nyandarua,36 29' 40.163,"0 35' 51.889""",MURUNGARU,"P.O.BOX 60158
00200
NAIROBI",,Compost
THE METAL MERCHANTS,shipping@metalmerchants.go.ke,NAIROBI,Nairobi,036.907790E,01.317960S,"LR.NO 9042/115,NORTH AIRPORT ROAD,EMBAKASI NAIROBI","P.O BOX 36846-00100
NAIROBI",,Transfer station
THE METAL MERCHANTS,shipping@metalmerchants.go.ke,MOMBASA,Mombasa,039.659870E,04.044370S,"LR.NO XII/27/MI,KENYATTA AVENUE,MOMBASA COUNTY","PO BOX 36846-0100
NAIROBI",,Transfer station
Health Advantage Kenya ltd,healthadvantageke@yahoo.com,Nakuru,Nairobi,00 20 23.9,36 01 13.2,MITI MINGI/MBARUK BLOCK 4/710 (INGOBOR) NAKURU COUNTY,P.0 Box 73257-00200 Nairobi,Biomedical Waste,Incinerator
KAMONGO WASTE PAPER K LTD,info@kamongo.co.ke,NAIROBI,Nairobi,36.853478,1.307982,KAMPALA ROAD,67313 00200 NAIROBI,,Recycling
SILICON HUB LIMITED,siliconhub1@gmail.com,Nairobi,Nairobi,"36° 53' 59.99"" E","-1° 14' 60.00"" S",Nairobi,P.O BOX 51341 - 00100 NAIROBI,,Incinerator
HARVEST LIMITED (ATHI RIVER),admin@harvestflowers.com,MACHAKOS,Machakos,"36 59'00""","01 27' 00""",KINANIE IN ATHI RIVER,"P.O.BOX 60158 00200
NAIROBI",,Compost
AFRICALLA K LIMITED,cm@africalla.com,Gilgil,Nakuru,36.3173° E,0.4923° S,GILGIL,709-00621 NAIROBI,,Compost
AFRICALLA K LIMITED,cm@africalla.com,Gilgil,Nakuru,36.3173° E,0.4923° S,GILGIL,709-00621 Nairobi,Agricultural Waste/Industrial Waste/Used Oil/Scrap Tyres/Condemned Goods,Recycling
ENDMOR STEEL MILLERS LIMITED,endmorsteel@ymail.com,MACHAKOS,Machakos,"26-54-52.07"" East","1-21-56.48"" South","SYOKIMAU ALONG MOMOBASA ROAD, OPPOSITE KAPA REFINERIES",P.O.BOX 68392-00622 NAIROBI,,Reuse
OLIJ KENYA PROPAGATION LTD,N.Macheru@DummenOrange.com,NAIVASHA,Nakuru,36.43,0.716,MOI SOUTH LAKE ROAD -NAIVASHA,479-20117,,Compost
TATA CHEMICALS MAGADI LIMITED,inyonje@tatachemicals.com,KAJIADO,Kajiado,36.307,-1.8997,"L.R NO. KAJIADO DISTRICT, MAGADI LOCATION OLKERI SUB-LOCATION","P.O. BOX 1- 00205
MAGADI",Biomedical Waste,Incinerator
ALTERNATIVE ENERGY SYSTEMS LIMITED,greenhealth010@gmail.com,THIKA EAST,Kiambu,37.087615,-1.064768,KIANG'OMBE THIKA SUBCOUNTY,"P.O BOX 2131-00606,
NAIROBI",,Recycling
TATA CHEMICALS MAGADI LIMITED,inyonje@tatachemicals.com,KAJIADO,Kajiado,36.307,-1.8997,"L.R NO. KAJIADO DISTRICT, MAGADI LOCATION OLKERI SUB-LOCATION","P.O. BOX 1- 00205
MAGADI",Non Hazardous/Non Industrial/Non Toxic & Non Medical Waste,Land fill
ALI EMPEX ENTERPRISE,eterch07@gmail.com,"MAJENGO, MOMBASA ISLAND",Mombasa,39.6604° E,4.0514° S,"LR NO 923/XVII/MI MWAMBUNDU ROAD, MAJENGO MOMBASA","P.O.BOX 88698-80100
MOMBASA",Scrap Metal,Transfer station
"KAMONGO WASTE PAPER K LTD ,KANGUNDO ROAD",info@kamongo.co.ke,NAIROBI,Nairobi,36.903581,1.266247,KANGUNDO ROAD,67313 00200 NAIROBI,,Transfer station
VEE PLASTIC INDUSTRIES LIMITED,info@veeplastic.com,MAKADARA,Nairobi,36.854042,-1.314523,"LOCATED IN INDUSTRIAL AREA ALONG ENTERPRISE ROAD ON PLOT L.R. NO. 209/12379 WITHIN MAKADARA SUB-COUNTY, NAIROBI COUNTY","P.O. BOX 55-00600,
NAIROBI.",,Recycling
MAUA METHODIST HOSPITAL,evansp.njoroge@gmail.com,IGEMBE SOUTH SUB-COUNTY,Meru,37.9414E,0.2326N,MAUA TOWN,P.O. BOX 63-60600 MAUA,,Incinerator
MAUA METHODIST HOSPITAL,evansp.njoroge@gmail.com,IGEMBE SOUTH SUB-COUNTY,Meru,37.9414E,0.2326N,MAUA TOWN,63-60600,,Incinerator
G.N &COMPANY (POLYTHENE) LIMITED,griffinsnyabuto40@gmail.com,EMBAKASI,Nairobi,-,-,EMBAKASI,"P.O BOX 78122-00507
NAIROBI",,Recycling
DOYA SCRAP METAL,evansnganga97@yahoo.com,NAIROBI,Nairobi,010 28.173’,036 90.629’,"L.R NO. 974 SPINE ROAD,NASRA ESTATE","P.O BOX 57226-00200,NAIROBI",,Transfer Station/Storage Yard
MARINE WASTE COLLECTION DEALERS LIMITED,olukohe2000@yahoo.com,KILIFI COUNTY,Kilifi,39.630800,-3.9422500,"LR NO.596 MWAWESA, BWAGAMOYO, RABAI SUB-COUNTY,KILIFI COUNTY",P.O BOX 1088-80100 MOMBASA,,Land fill
EURO PLASTICS LIMITED,Ashok@euro-plastics.com,NAIROBI,Nairobi,1.3143° S,36.8441° E.,junction of Likoni Road and enterprise road,"P.O. Box 17654-00500
NAIROBI, KENYA",,Recycling
EURO PLASTICS LIMITED,ashok@euro-plastics.com,Nairobi,Nairobi,1.3143° S,36.8441° E,junction of Likoni Road and enterprise road,"P.O. Box 17654-00500
NAIROBI, KENYA",,Recycling
WASTEWARD ENTERPRISES,eterch07@gmail.com,NAIROBI,Nairobi,",36.864196666666665",-1.30998,"LR 209/8211, RANGWE ROAD, OFF LUNGALUNGA, INDUSTRIAL AREA, NAIROBI COUNTY","P.O.O.BOX 1761-00200
NAIROBI",,Recycling
KITENGELA HOT GLASS LTD,berlconsult2013@gmail.com,Kajiado,Nairobi,36.7,1.39,LR. NO. 272 KAJIADO DISTRICT/ OLOOTIKOSH/ KITENGELA,"P.O. BOX 349 KAREN, NAIROBI",,Incinerator
HACO INDUSTRIES LTD,mercyk39@gmail.com,KASARANI,Nairobi,914095,-1.219152,L.R 8116/1,43903-00100 NAIROBI,,Recycling
KENYA ELECTRICITY GENERATING COMPANY/NEMA/WM/DA/1299,hsommow@kengen.co.ke,Machakos,Machakos,37° 74' 459.98”,0° 79' 72.98'',L R No. Machakos Yatta 1,P.O.BOX 205-EMBU,,Incinerator
TONONOKA ROLLING MILLS LIMITED,timothy@tononokasteels.com,NAIROBI,Nairobi,36.821946,1.292066,"LR NO.- 13037, KOMA ROCK ROAD, NAIROBI",P.O. BOX 44689 00100 NAIROBI,,Recycling
NELSON SCRAP METAL,berlconsult2013@gmail.com,NAIROBI,Nairobi,36.8167° E,1.2833° S,"PLOT NO: 209/9294, QUARRY ROAD, NAIROBI",P. O. BOX 16743-00620 NAIROBI,,Transfer Station/Storage Yard
KITENGELA HOT GLASS LTD,berlconsult2013@gmail.com,Kajiado,Kajiado,36.7,1.39,LR. No. 272 KAJIADO,"P. O. Box 349 KAREN, NAIROBI.",,Recycling
CROCODILE MERCHANTS,johnmanyange981@gmail.com,Embakasi East,Nairobi,36.81667,-1.28333,Along plot no 4096 Ruai Bypass within Embasi Ranching co ltd,P.O BOX7548-00100 NAIROBI,,Transfer Station/Storage Yard
TORONTO MERCHANTS LTD,johnmanyange981@gmail.com,kamukunji,Nairobi,"36.8295357,",-1.273818,MUSLIM ROAD OFF PARK NAIROBI ON PLOT NUMBER 209/5/6,"P.O BOX 8732-00300
NAIROBI",,Transfer Station/Storage Yard
WANG-TECH PETROLEUM LIMITED,olukohe2000@yahoo.com,MIRITINI,Mombasa,39.5919545,-4.0154570,MIRITINI,P.O BOX 42571-80100 MOMBASA,,Transfer station
ABDINASIR ALI,fagl767@gmail.com,NAIROBI,Nairobi,N/A,N/A,NAIROBI EAST,PO BOX 105495-00101-JAMIA,,Dumpsite for General Waste
EAST AFRICAN PAPER MILLS LIMITED,mr@eapm.co.ke,THIKA,Kiambu,"1.0485° S,",37.1046° E,FACTORY ROAD-OFF GARISA ROAD- THIKA,"PO BOX 1404-00606, SARIT CENTER-NAIROBI",,Recycling
DALE FLORA LIMITED,dalefloraltd@gmail.com,rongai,Nakuru,35.856027,-0.170932,RONGAI,P.O BOX 3341-20100,,Compost
KENYA FORESTRY RESEARCH INSTITUTE,director@kefri.org,KIKUYU SUB-COUNTY,Kiambu,36.647963,-1.217997,L.R. NO KEFRI HEADQUARTERS IN MUGUGA KIKUYU DISTRICT KIAMBU COUNTY,"P.O.BOX 20412-00200
NAIROBI",,Incinerator
KEMRI Wellcome Trust Research Programme-CGMR Kilifi,peninah.kisilu@gmail.com,Kilifi,Kilifi,390 51’ 23.79”E,30 37’47.00”S,Plot No. 5054/90 Kilifi town adjacent to Kilifi district hospital,P.O Box 230-80108 Kilifi,,Incinerator
RAINMAC METAL FORWARDERS LIMITED,markrain@gmail.com,EMBAKASI,Nairobi,"0""33E","0""33""N","LR.NO.209/10866,AIRPORT NORTH ROAD",P.C BCX 224434-00100 NAIROBI,,Transfer station
INTERNATIONAL LIVESTOCK RESEARCH INSTITUTE (ILRI),J.Otieno@cgiar.org,DAGORETI,Nairobi,36.722367,-1.270537,UTHIRU (OLD NAIVASHA ROAD),P.O BOX 30709-00100 NAIROBI,,Incinerator
SWEET GARBAGE,garbagesweet@gmail.com,KAJIADO,Kajiado,36.9634° E,1.4713° S,"PLOT NO. 115 UMMOJA-INNERCORE,MOI DRIVE","P.O BOX 355,
ATHI RIVER.",,Transfer station
SAIMBOT SHIPS CONTRACTORS LIMITED,saimbot@yahoo.com,RABAI,Mombasa,E0393780,S0402353,RABAI,"P.O.BOX 40461-80100
MOMBASA",,Land fill
STAR PLASTICS LIMITED,jeremiah@primatech.co.ke,JUJA,Kiambu,37.0059,-1.08895,"LR NO 100090/14/157 JUJA TOWN, KIAMBU COUNTY",P.O BOX 18966-00500 NAIROBI,,Recycling
MR. GREEN TRADING AFRICA(K) LTD,grace@mrgreentrading.com,EMBAKASI,Nairobi,"1°19'42.1""S 36°51'55.8""E","1°19'42.1""S 36°51'55.8""E",NAIROBI,"INSIDE SAMEER AFRICA PLC ON ENTERPRISE ROAD OFF MOMBASA ROAD
P.O BOX 52019-00100",,Recycling
Boredo Supplies Limited,chawkins@boredosupplies.com,Nairobi,Nairobi,36.8422° E,1.2938° S,on Plot No LR 1163 Factory Street Nairobi,P.O.Box 17628-00500 Nairobi,,Transfer Station/Storage Yard
WARMTECH AFRICA LIMITED,kevin@warmtech.asia,ATHI RIVER,Machakos,37 0 15,1 26 53,ATHI RIVER,"P O BOX 234-00200
ATHI RIVER",,Transfer station
TAI LIFESTYLE LIMITED,amwaniki2030@gmail.com,RABAI,Kilifi,39.521400,-3.920220,RABAI,P.O BOX 16620- 80108,,Recycling
RUSHABH INDUSTRIES LTD,sunilharia84@gmail.com,Nairobi,Nairobi,"36°52'13.6""E","1°18'27.6""S",PLOT NO. 209/3917 LUNGA LUNGA ROAD,P. O. BOX 41578-00100 NAIROBI,,Recycling
WARMTECH AFRICA LIMITED,warmtechafrica@gmail.com,ATHI RIVER,Machakos,37 0 15,1 26 53,ATHI RIVER,P O BOX 234 00200 ATHI RIVER,,Transfer station
JARAMOGI OGINGA ODINGA TEACHING AND REFERRAL HOSPITAL,MEDSUPTNPGH@YAHOO.COM,KISUMU CENTRAL,Kisumu,34.7718° E,0.0890° S,KONDELE,"P.O. BOX 849-40100, KISUMU",,Incinerator
OAKLAND HOLDINGS LIMITED,angelaola01@gmail.com,MOMBASA,Mombasa,39.67,-4.06,"BUXTON MOMBASA ISLAND, MOMBASA COUNTY",P.O. BOX 97370-80100 MOMBASA,,Transfer Station/Storage Yard
TAKATAKA SOLUTIONS LTD,norah.takataka@gmail.com,KIAMBU COUNTY,Nairobi,36.7329583,-1.1411142,"L.R. NO. KIAMBU/KIAMBAA/CIANDA, KIAMBU COUNTY",29273-00625 NAIROBI,,Transfer Station/Storage Yard
